,Date_initial_tag,Transect,Transect_num,Current_tag_num,Species,Meter,Meters_90,Direction,MaxDiameter,Height,PercentMortality,Notes,092022_Condition,092022_Percentage,102023_Condition,102023_Percentage
50,9/11/22,Juan Point Reef,2,53,PAST,31.4,4.3,R,14,4,5,NA,Healthy,NA,Healthy,NA
51,9/11/22,Juan Point Reef,2,54,PAST,31.2,0.8,R,26,5,5,NA,Healthy,NA,Healthy,NA
55,9/11/22,Juan Point Reef,2,58,PAST,25,3.2,R,26,5,5,mucus sheathing,Healthy,NA,Healthy,NA
34,9/11/22,Juan Point Reef,2,37,SSID,13.2,0.2,L,45,15,30,minor DC/GA (~10%),Healthy,NA,Bleached,5%
35,9/11/22,Juan Point Reef,2,38,SSID,12.2,2.9,L,33,6,5,NA,Healthy,NA,Healthy,NA
38,9/11/22,Juan Point Reef,2,41,SSID,27.8,2.1,R,27,6,2,NA,Healthy,NA,Paled,40%
52,9/11/22,Juan Point Reef,2,55,SSID,25.7,3.5,R,40,8,10,NA,Healthy,NA,Bleached,60%
56,9/11/22,Juan Point Reef,2,59,SSID,4.9,3.6,R,45,15,10,some DC,Healthy,NA,Bleached,15%
57,9/15/22,Crawl Cay,3,60,CNAT,4,0.7,R,160,65,10,NA,Healthy,NA,Paled,100%
58,9/15/22,Crawl Cay,3,61,CNAT,3.9,0.3,R,85,35,0,NA,Healthy,NA,Paled,30%
65,9/15/22,Crawl Cay,3,68,CNAT,8.3,0.8,R,155,53,0,NA,Healthy,NA,Bleached,25%
68,9/15/22,Crawl Cay,3,71,CNAT,8.7,0.3,L,110,45,0,NA,Healthy,NA,Healthy,NA
71,9/15/22,Crawl Cay,3,74,CNAT,19,0.1,R,110,70,5,tag loose,Healthy,NA,Healthy,NA
72,9/15/22,Crawl Cay,3,75,CNAT,20,0.1,R,100,40,15,tag loose,Healthy,NA,Bleached,35%
73,9/15/22,Crawl Cay,3,76,CNAT,19.5,0.1,L,130,20,5,tag loose,Healthy,NA,Paled,20%
61,9/15/22,Crawl Cay,3,64,MCAV,3.3,0.8,L,40,30,0,NA,Healthy,NA,Healthy,NA
62,9/15/22,Crawl Cay,3,65,MCAV,5.2,0.9,L,60,30,0,NA,Healthy,NA,Healthy,NA
66,9/15/22,Crawl Cay,3,69,MCAV,9.4,2.9,R,40,38,0,NA,Healthy,NA,Healthy,NA
75,9/15/22,Crawl Cay,3,78,MCAV,20.2,3.4,R,20,23,20,coral loose,Healthy,NA,Healthy,NA
79,9/15/22,Crawl Cay,3,82,MCAV,4.1,3,R,40,45,0,CLP 10%,Healthy,NA,Paled,10%
76,9/15/22,Crawl Cay,3,79,MMEA,13.5,4.3,R,12,5,0,NA,Healthy,NA,Healthy,NA
77,9/15/22,Crawl Cay,3,80,MMEA,13.1,2.4,R,20,15,0,tag far from coral,Healthy,NA,Healthy,NA
80,9/15/22,Crawl Cay,3,83,MMEA,2.5,1.1,R,16,4,0,NA,Healthy,NA,Healthy,NA
87,9/15/22,Crawl Cay,3,90,MMEA,0,0.2,R,18,4,1,"TL from sedimentation -- moved coral to beginning of transect, might get brick dropped on it",Healthy,NA,Healthy,NA
60,9/15/22,Crawl Cay,3,63,ORBI,3.3,0.4,L,45,22,10,NA,Healthy,NA,Healthy,NA
88,9/15/22,Crawl Cay,3,29,ORBI,-1,1.3,L,140,30,10,NA,Healthy,NA,Healthy,NA
64,9/15/22,Crawl Cay,3,67,ORBI,7.3,1,L,105,45,20,NA,Healthy,NA,Healthy,NA
67,9/15/22,Crawl Cay,3,70,ORBI,9,3.4,R,60,10,0,tag on CNAT,Healthy,NA,Healthy,NA
59,9/15/22,Crawl Cay,3,62,PSTR,3.4,0.1,R,40,25,30,NA,Healthy,NA,Paled,10%
63,9/15/22,Crawl Cay,3,66,PSTR,5,0.5,L,45,5,5,NA,Healthy,NA,Bleached,15%
69,9/15/22,Crawl Cay,3,72,PSTR,15,2.1,L,70,50,10,NA,Healthy,NA,Bleached,50%
70,9/15/22,Crawl Cay,3,73,PSTR,11.1,3.6,R,65,40,30,NA,Healthy,NA,Bleached,60%
74,9/15/22,Crawl Cay,3,77,PSTR,20.1,3.6,R,20,5,0,NA,Healthy,NA,Paled,20%
83,9/15/22,Crawl Cay,3,86,PSTR,-1,6,L,80,30,2,NA,Healthy,NA,Healthy,NA
84,9/15/22,Crawl Cay,3,87,PSTR,1,5.9,L,120,55,5,NA,Healthy,NA,Paled,60%
78,9/15/22,Crawl Cay,3,81,SSID,5.7,1.7,R,45,25,5,coral pitted with some CLB,Healthy,NA,Bleached,85%
81,9/15/22,Crawl Cay,3,84,SSID,2.3,0,R,34,15,10,CLP ~70% D&OG,Healthy,NA,Paled,70%
82,9/15/22,Crawl Cay,3,85,SSID,-1,5.6,L,38,14,5,CLP ~90%,Healthy,NA,Paled,90%
85,9/15/22,Crawl Cay,3,88,SSID,2,4.4,L,60,15,10,CLP ~10%,Healthy,NA,Paled,90%
86,9/15/22,Crawl Cay,3,89,SSID,1.5,5.9,L,38,22,10,CLP ~20%,Healthy,NA,Bleached,40%
